summary,actions,datatypes
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can save their bank card details for quick payments in the future.,['bank card details']
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can add a designated payer to their usage point to pay bills on their behalf.,"[""designated payer's information"", 'billing details']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can request environmentally friendly e-bills.,"{'Personal data': ['billing information', 'email address', 'preferences']}"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can receive notifications about upcoming bills and meter reading dictation periods.,"['billing information', 'meter reading schedules']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can log in to the app with their MVM account.,{'Personal data': ['MVM account information']}
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user consents to receiving notifications regarding services used and new opportunities by downloading the mobile application.,"['notification preferences', 'services used', 'new opportunities', 'mobile application download']"
"The mobile app allows users to browse the latest collections, add items to favorites, and conveniently shop online for trendy clothing and accessories for women, men, kids, and infants, including eco-friendly options and premium unisex collections.",The user adds items to favorites for easy online shopping.,"['shopping preferences', 'favorite items', 'purchase history']"
"The mobile app allows users to browse the latest collections, add items to favorites, and conveniently shop online for trendy clothing and accessories for women, men, kids, and infants, including eco-friendly options and premium unisex collections.",The user selects clothing and accessories from different lines.,"['clothing preferences', 'accessories preferences', 'favorite colors', 'style preferences']"
"The mobile app allows users to browse the latest collections, add items to favorites, and conveniently shop online for trendy clothing and accessories for women, men, kids, and infants, including eco-friendly options and premium unisex collections.",The user chooses items from the #EcoAware collection.,"['shopping preferences', 'environmental concerns']"
"The mobile app allows users to browse the latest collections, add items to favorites, and conveniently shop online for trendy clothing and accessories for women, men, kids, and infants, including eco-friendly options and premium unisex collections.",The user explores premium and unisex collections.,"['shopping preferences', 'clothing sizes', 'style preferences']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The user browses over 275 baby food recipes from various categories.,"['recipes', 'food preferences', 'dietary restrictions', 'parenting interests']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The user filters recipes based on cow's milk or peanut allergy.,"['allergies', 'dietary preferences']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The user saves their baby's favorite recipes for easy access.,"[""baby's favorite recipes""]"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.","The user adjusts personal preferences for meat, fish, or vegetarian recipes.","['dietary preferences', 'recipe preferences']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The app provides information on starting solid foods for babies from 4 months and older.,"[""baby's age"", ""baby's dietary history"", 'parenting style', 'feeding preferences']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The app offers feeding schedules for combining breast feeding or infant milk with solid foods.,"['feeding schedules', 'breastfeeding data', 'infant milk data', 'solid foods data']"
"The mobile app offers over 275 recipes for creating fresh and easy baby food based on European nutrition guidelines, with features including no subscription fees, cow's milk and peanut-free options, suitable for babies from 4 months and older, and customizable for meat, fish, or vegetarian preferences.",The app includes tips and tricks for transitioning to solid foods and family meals.,"[""baby's age"", 'dietary preferences', 'cooking skills', 'family meal traditions']"
"The mobile app helps you test and monitor your battery and chargers to identify issues, track charging rates, and access essential system insights.",The user compares different charging cables and chargers.,"['charging cables', 'chargers']"
"The mobile app helps you test and monitor your battery and chargers to identify issues, track charging rates, and access essential system insights.","The user personalizes tests with wire types, charger varieties, and comments.","{'Personal data': ['wire types', 'charger varieties', 'comments']}"
"The mobile app helps you test and monitor your battery and chargers to identify issues, track charging rates, and access essential system insights.",The user evaluates power banks and other charging sources.,"['charging preferences', 'device types', 'battery capacity needs']"
