summary,actions,datatypes
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The app is written entirely in Swift and SwiftUI.,['none']
"The mobile app offers engaging quiz-based games (kahoots) for students, teachers, company employees, trivia fans, and lifelong learners to increase engagement and learning, with features including creating and hosting quizzes, access to millions of learning games, and various study modes across different platforms.",Users explore and discover millions of ready-to-play quiz-based learning games (kahoots).,"['quiz topics', 'learning preferences', 'performance data']"
"The mobile app provides visualized METAR and TAF weather information for all airports worldwide, with features such as easy-to-understand metrics, weather symbols, crosswind calculations, flight rule categories, voice synthesis reading, sunrise/sunset times, and customizable units, offering a comprehensive tool for aviation weather forecasting.",The app displays METAR in easy-to-understand and color-coded metrics.,"['location preferences', 'weather interests']"
"The mobile app provides real-time updates on car traffic at Hungarian border crossings and users can contribute by reporting their border crossing times to improve accuracy, with plans to expand to other countries.",The user indicates the duration of their border crossing to contribute to more accurate information.,['border crossing duration']
"The mobile app offers a personalized music streaming experience with a vast music catalog, personalized playlists, offline listening, and various features like music identification, customized recommendations, and different subscription options for ad-free, high-quality music streaming.",The user creates children profiles for explicit content with Deezer Family.,"['children profiles', 'age of children', 'explicit content preferences']"
"The mobile app provides essential information and tools to help UK Foundation doctors navigate common clinical scenarios with ease and confidence, featuring assessment guides, management protocols, reference materials, and medical calculators.",All documents are downloaded into the app and are available at all times for users.,['documents']
"The mobile app offers low-cost flight deals to over 200 destinations, along with options to book hotels, airport parking, car hire, taxi services, and more, making it easy to plan and organize your travel experience efficiently.",The user searches for low-cost flight deals and selects from 200+ destinations.,"['flight deals', 'selected destinations', 'budget preferences']"
"The mobile app allows users to easily book, manage, and check in for trips with Aer Lingus, access boarding passes, receive live flight updates, earn AerClub rewards, and enjoy in-flight dining and shopping options.","Users can sign up for AerClub, earn, redeem, and track AerClub rewards using the app.","['name', 'email address', 'date of birth', 'contact information', 'payment information']"
The mobile app offers a selection of the best fireplaces to create a relaxing atmosphere accompanied by soothing nature sounds for relaxation and sleep.,The app plays calming nature sounds to help the user relax and sleep.,"['sleep patterns', 'stress levels', 'preferred sounds']"
"The mobile app revolutionizes the traditional calculator design with a freeform canvas, responsive results, linked numbers, real-time graphing, and extensive features for everyday and advanced calculations, offering a modern, efficient, and versatile tool for iPhone and iPad users.",The user uses undo support for reverting changes.,"{'personal data': ['changes made', 'time of changes', 'device information']}"
"The mobile app provides real-time economic data on the US Federal Government, 50 States, and World, including historical comparisons, debt levels, GDP, unfunded liabilities, military costs, occupations, natural disasters, consumer prices, and more.",The user travels back in time to the year 1100 for a complete history of money and banking.,"['location history', 'interest in history', 'interest in money and banking']"
"The mobile app zVEM provides quick and easy access to medical reports, prescriptions, and other documents within the eHealth system, offering services such as viewing health documentation, ePrescriptions, eReferrals, waiting times, receiving push notifications for new health documents, and issuing and storing digital COVID certificates for travel within the EU and some other countries, requiring access via the zVEM web portal with a QR code authorization and a SI-PASS account with a qualified digital certificate or SMS-pass login mechanism.","Users view health documentation (test results, authorizations, and other documentation).","['health documentation', 'test results', 'authorizations']"
"The mobile app offers over 180 knots across various categories for fishing, climbing, boating, scouting, and more, with detailed reference information and interactive 3D animations for easy learning and practice.",The user enjoys high-res graphics with photo-realistic rope textures while learning knots in Knots 3D app.,"['knots learning activity', 'graphics preferences', 'app usage data']"
"The mobile app revolutionizes the traditional calculator design with a freeform canvas, responsive results, linked numbers, real-time graphing, and extensive features for everyday and advanced calculations, offering a modern, efficient, and versatile tool for iPhone and iPad users.","The user shares the canvas by printing, exporting as PDF, copying calculations as text, or saving as an image.","['canvas', 'calculations']"
"The mobile app offers access to over 16,000 makeup, fragrance, and beauty brands, exclusive promotions, makeup and skincare tutorials, appointment booking with experts, and sharing experiences with the Sephora beauty community.","The user benefits from exclusive promotions on makeup, perfumes, skincare, and beauty accessories.","['makeup preferences', 'perfume preferences', 'skincare preferences', 'beauty accessory preferences']"
"The mobile app offers convenient access to check usage, manage Wi-Fi network, pay bills, and oversee services with ease, ensuring users are always up to date on their Telenet account.","The user checks their mobile data, texts, and minutes usage.","['mobile data usage', 'text messages usage', 'minutes usage']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The user quickly finds fruits and vegetables that are currently in season.,"['location', 'season', 'food preferences']"
"The mobile app aims to raise awareness of face-touching behavior by detecting and alerting users when their Watch-wearing hand nears their face during hour-long training sessions, without claiming to diagnose or treat any medical conditions.",The user increases the sensitivity of face-touch detection if needed.,['face-touch detection sensitivity']
"The mobile app by the Automobile Club Luxembourg provides fast and efficient assistance, including features like eCall mobile, traffic information, news updates, eCharging stations, and a digital membership card, accessible in multiple languages and offering valuable benefits to ACL members.",The user activates location services for their mobile device.,{'Personal data': ['location data']}
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user follows @Tinrocket on Instagram and Twitter for the latest updates.,"['social media handles', 'interest in updates']"
"The mobile app offers a simple, friendly, and intuitive shopping experience with a wide range of products available for quick and secure purchase, offering the option for home delivery or in-store pickup, as well as the ability to save desired items in a wishlist and choose payment methods like cash on delivery or interest-free installments.","The user has all offers in one place, whether they want perfumes, cosmetics, beverages, toys, appliances, or IT products.","{'personal_data': ['shopping preferences', 'interests in perfumes', 'interests in cosmetics', 'interests in beverages', 'interests in toys', 'interests in appliances', 'interests in IT products']}"
"The mobile app makes it easy to manage MEO services, offering tailored deals, enhancing MEO experience, managing family services, viewing and paying bills, tracking usage, utilizing a digital assistant, accessing contract information, obtaining PIN and PUK for mobiles, and accessing customer support channels.","The user explores products, apps, and services provided by MEO for both home and outside use.","['products', 'apps', 'services', 'home use preferences', 'outdoor use preferences']"
"The mobile app allows users to connect with others for free video calls, messaging, and personalized news, as well as utilize Bing GPT-4 for trip planning, jokes, film recommendations, and creative questions, and offers additional features like a second phone number and various permissions for enhanced functionality.",The user shares their screen to show what they're working on.,"['screen content', 'work projects', 'software applications']"
"The mobile app is a comprehensive Greek calendar and events app with features like SMS reminders, multiple customization options, Greeklish translation, and a large database of events.",The user manages document categories and subcategories for better organization.,"['document categories', 'subcategories', 'organization preferences']"
"The mobile app offers personal advice, market navigation, inspiration, care calendar, exclusive discounts, and more for DIY projects related to home and garden, providing expert tips, step-by-step guides, and shopping assistance with the ability to receive support via chat or video, and access to exclusive deals and product information directly on your smartphone, making it a convenient tool for all your DIY needs.",The user receives tips and tricks for their DIY project.,"['DIY project details', 'crafting skills', 'materials used', 'tools required']"
"The mobile app offers a convenient and enjoyable shopping experience for shoes, handbags, clothing, and accessories from various top brands, along with features like membership benefits, product availability checking, image search, barcode scanner, and payment options, while also providing fashion inspiration and customer support.",The user scans their feet in the CCC or eFootwear store for esize.me recommendations.,"['foot scans', 'shoe size', 'foot shape']"
"The mobile app offers convenient shopping options, including exclusive promotions, online ordering with delivery or pick-up, digital SuperPlus card access, Nutri-Score discounts, and easy access to account features such as e-Deals and point redemption.","The user orders products, pays safely, and arranges for delivery to their home or shop.","['order details', 'payment information', 'delivery address', 'billing address']"
"The mobile app from a bio-medical testing laboratory offers secure access to test results, history, preparation information, graphical displays for certain tests, center locations, news updates, and the ability to rate and provide feedback on your experience.",The user finds useful information to help prepare for examinations.,"['exam topics', 'study materials', 'test schedules', 'performance results']"
"The mobile app offers a comprehensive solution for banking and insurance needs, allowing users to manage finances, investments, loans, insurance policies, and access a range of additional services like ticket ordering and property transactions conveniently and securely.","The user can transfer money, manage finances, insurances, investments, and loans using the app.","['financial transactions', 'account information', 'insurance details', 'investments', 'loan details']"
"The mobile app is a professional astrology program for iPhone that offers accurate calculations, smart descriptions, and a wide range of special techniques, including the ability to build various types of astrological charts, view ephemerides and aspects, save and edit natal data, and generate weekly graphic forecasts based on transit aspects to radix.","The user saves, loads, changes natal data in DB.",['natal data']
"The mobile app offers low-cost flight deals to over 200 destinations, along with options to book hotels, airport parking, car hire, taxi services, and more, making it easy to plan and organize your travel experience efficiently.",The user stays connected with 5G data roaming over 160 countries with eSim and Fast Track.,"['location data', 'travel history', 'device information', 'network usage data']"
"The mobile app offers a variety of benefits and features for shopping, including the ability to purchase favorite products, access to services such as glückskind and PAYBACK, and a unified view of all coupons, with the option to customize the app based on personal preferences and easily redeem coupons both in-store and online.","The user navigates through product categories such as Baby & Kind, Make-up, Health, etc. using the search function.","['product categories', 'search history']"
"The mobile app offers a convenient and enjoyable shopping experience for shoes, handbags, clothing, and accessories from various top brands, along with features like membership benefits, product availability checking, image search, barcode scanner, and payment options, while also providing fashion inspiration and customer support.",The user joins the CCC Club to access promotions and benefits.,"['email address', 'name', 'date of birth', 'location', 'interests']"
"The mobile app is a health and wellness platform in the Baltics with over 130,000 users, offering a variety of services to help users take care of their wellness, track health expenses, and use employer-provided compensation.",Stebby users use the compensation provided by their employer for services.,"{'Personal data': ['compensation details', 'employment status', 'employer information']}"
"The mobile app is a convenient extension for Safari that allows you to translate entire webpages or paragraphs in over 140 languages, maintain the visual layout of the page, and seamlessly integrate with other iOS applications for easy translation.","The user sends support emails with questions, feedback, or complaints.","['email address', 'name', 'questions', 'feedback', 'complaints']"
"The mobile app by the Automobile Club Luxembourg provides fast and efficient assistance, including features like eCall mobile, traffic information, news updates, eCharging stations, and a digital membership card, accessible in multiple languages and offering valuable benefits to ACL members.",The app automatically routes voice calls from ACL affiliates to a priority phone line.,"{'personal_data': ['phone number', 'affiliation with ACL affiliates']}"
"The mobile app, a European number one study tool for middle and high schools, provides free access to high-quality study materials, personalized study plans, interactive learning features, AI assistance, and a supportive learning community to help students improve their academic performance and make studying more enjoyable.","The user organizes their school life by creating a personalized study plan, libraries, and private study folders.","['study plan', 'libraries', 'private study folders', 'school subjects']"
"The mobile app provides real-time information on speed cameras and traffic conditions in over 140 different regions, featuring a map with 38,000 fixed cameras across Europe, offline database, voting system, push notifications, and the ability to report and comment on speed cameras.",The user interacts with the overview page showing all current Blitzers.,"['username', 'profile pictures', 'blitzing activity', 'location']"
"The mobile app is a video surveillance tool specifically designed for viewing up to 16 cameras connected to S-VIDIA brand security video servers, offering low bandwidth usage and the ability to manage multiple connection profiles.",App only works with S-VIDIA brand security video recorders.,{'personal data': []}
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can dictate meter readings and check their previous meter reading data.,"['meter readings', 'previous meter reading data']"
"The mobile app provides a convenient way to manage incoming and outgoing shipments, check postal hours, create a queue ticket for faster postal service, make online postage payments, track shipments, and receive notifications about shipment status updates.",The user can print address labels for their shipments directly from the application.,['shipping address']
"The mobile app helps users manage and analyze their assets, offering insights on asset trends, classification, optimal investment portfolios, and providing AI-powered analysis to support a steady investment journey, optimized for long-term investing and discouraging short-term speculation.",The user views trends in the amount of assets and the amount of each type of asset.,"['financial assets', 'asset types']"
"The mobile app provides easy access to information about packages delivered to a nearby locker, sending notifications when packages are ready for pickup and allowing users to open the locker door via Bluetooth.",The user switches between multiple languages in the app.,"['preferred languages', 'language settings']"
"The mobile app enhances online account security by requiring a second verification step during login, generating codes on your smartphone for authentication, and offering features such as code synchronization, QR code setup, support for multiple accounts, and transfer of accounts between devices.",The user activates two-step verification in their Google account.,"['Google account', 'verification method']"
"The mobile app is a user-friendly stop-motion animation tool that allows users to easily create professional-looking movies, offering a variety of features such as video filters, soundtracks, green screen effects, and a powerful built-in image editor, with the ability to share projects in high quality and continue editing seamlessly across devices.","Users can save and share their creations in various formats, including storing in the photo library, sharing on YouTube in high resolutions, saving as iMessage stickers or animated GIFs, transferring projects between devices using AirDrop, Dropbox, or iCloud, and seamlessly switching between mobile and Mac devices for continued editing.","['creations', 'photos', 'videos', 'iMessage stickers', 'animated GIFs', 'projects', 'device information', 'location data']"
"The mobile app is a one-stop-shop for the best Dutch entertainment, offering a variety of films, series, and live TV programs that can be streamed on multiple devices with the option to try for two weeks free and cancel monthly.",The user accesses a variety of films and series in one place.,"['watched films', 'watched series', 'preferred genres', 'watch history']"
"The mobile app offers a simple and minimal interface to help create professional-looking intro videos with customizable templates, text captions, and music, enhancing your videos with a professional touch.",The user selects or takes a new photo to include in the video.,"['photos', 'location data', 'camera settings']"
"The mobile app helps users plan and navigate their journeys with multiple modes of transport, purchase tickets conveniently, keep all tickets in one place, compare route options, and easily manage ticket information and payments.","The user chooses the schedule, means of transport, and routes for their journey.","['travel schedule', 'means of transport', 'routes']"
"The mobile app makes it easy to manage MEO services, offering tailored deals, enhancing MEO experience, managing family services, viewing and paying bills, tracking usage, utilizing a digital assistant, accessing contract information, obtaining PIN and PUK for mobiles, and accessing customer support channels.","The user can easily access all support channels available, including FAQs, user community, store locations, and support hotlines.","['location', 'user preferences', 'contact information', 'device information']"
"The mobile app helps users plan and navigate their journeys with multiple modes of transport, purchase tickets conveniently, keep all tickets in one place, compare route options, and easily manage ticket information and payments.","The user checks their ticket information, validity periods, and remaining trips through the app.","['ticket information', 'validity periods', 'remaining trips']"
"The mobile app offers fun and effective language learning in over 40 languages through gamified lessons, developed by experts to improve speaking, reading, listening, and writing skills, with progress tracking and a global community of over 500 million learners.",The user tracks their progress and works towards language learning goals.,"['language learning progress', 'goals', 'preferred study methods']"
"The mobile app offers fast, smart, and anonymous browsing with a redesigned interface, enhanced anonymity features, private browsing mode, and intuitive design, utilizing the Tor anonymization network to prioritize user anonymity and privacy.",The app provides a Private Browsing mode that auto clears browsing history and cookies.,"['browsing history', 'cookies']"
"The mobile app helps users find job opportunities, stay informed with industry news, expand their professional network, and access tools for career development, including job notifications and interview tips, all while showcasing their experience, skills, and connections on their LinkedIn profiles.",The user finds job offers and stays informed with current industry news on LinkedIn.,"['job preferences', 'industry news preferences']"
"The mobile app tracks Heart Rate Variability measurements from your Apple Watch to provide insight on your body's stress levels, readiness, recovery, and overall health, with features like notifications, daily tracking, comparison with key metrics, long-term trend analysis, and widgets for easy monitoring.",The user tracks short-term HRV measurements and long-term trends using HRV Tracker.,"{'Personal data': ['heart rate variability (HRV) measurements', 'HRV trends']}"
"The mobile app features a variety of functions including waking up and going to sleep to music, exclusive designer clocks, weather updates, countdown to events, a multifunctional timer, and a built-in flashlight.",The user goes to sleep to their favorite songs or white noise.,"{'Personal data': ['favorite songs', 'white noise preferences']}"
"The mobile app allows users to plan routes along official hiking trails in Poland, record tracks, view points of interest, and access detailed touristic maps for various regions, with offline map downloads available.",The app provides information about points of interest along the routes.,"['location data', 'travel preferences', 'historical interests']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can make payments for their bills instantly using a bank card.,"['payment information', 'bank card details', 'billing information']"
"The mobile app, developed by educators, is a Swedish reading and writing app designed to encourage children to practice phonics, spelling, and reading through engaging games at various levels, featuring a rewarding system and characters in a fantasy world.",Children train to crack the reading code through listening and learning letter sounds.,"['reading skills', 'listening skills', 'letter sounds', 'age group']"
"The mobile app is designed to make everyday banking easy and convenient for both private and business customers, offering features such as account balance checking, card management, payment options including Apple Pay, and tools for tracking expenses and savings, along with a strong emphasis on security and feedback.",Private customers can start saving with the 'Easy Saver' feature.,"['savings goals', 'financial information', 'personal preferences']"
"The mobile app offers a wide range of beauty products from popular and new brands, making it convenient to shop for perfumes, makeup, skincare, and body care items with the assistance of knowledgeable staff either online or in-store.",The user explores thousands of products and navigates through clear categories for a quick and simple shopping experience.,"{'Personal data': ['product preferences', 'browsing history', 'shopping habits', 'location']}"
"The mobile app allows users to conveniently view and browse Instagram stories anonymously, without requiring a username or password, and offers various features such as dark and white mode, no in-app purchases, and sharing full-size avatars.",The user can view and share full-size avatars.,['avatars']
"The mobile app provides easy and convenient access to selected ABUS products through a user-friendly interface, allowing for setup of cameras and recorders via QR code or IP address input, simultaneous viewing of recordings and live images from up to 16 cameras, remote access to live images and recordings, push notifications for events like doorbells, direct saving of images/clips, pinch-to-zoom function, control of PTZ cameras, and operation of switches or relays for functions like opening doors or activating light switches.",The app provides remote access to ABUS products via WLAN and mobile internet.,"['location data', 'device information', 'user credentials']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user creates an artist's journal or notebook using their watercolors.,"['artistic creations', 'medium preference', 'artistic interests']"
"The mobile app allows users to plan routes along official hiking trails in Poland, record tracks, view points of interest, and access detailed touristic maps for various regions, with offline map downloads available.","The app displays the planned route on a map with length, estimated time, and elevation profile.","['location data', 'route details', 'travel preferences']"
"The mobile app offers a wide range of beauty products from popular and new brands, making it convenient to shop for perfumes, makeup, skincare, and body care items with the assistance of knowledgeable staff either online or in-store.",The user renews their cosmetic bag with favorite classics and wants new trendy makeup.,"['cosmetic preferences', 'makeup interests', 'favorite products', 'trendy makeup']"
"The mobile app allows you to securely store and access files from any device, share files and folders easily, search for files by name and content, set permissions for sharing, access content offline, and receive notifications for important file activities, with options to purchase additional storage if needed.",The user can search for files by name and content.,"['search queries', 'file names', 'file content']"
"The mobile app shows parking spaces for people with disabilities on a map, covering 90% of Sweden's 290 municipalities, allowing users to easily locate nearby spots and receive directions to their chosen parking space.","If data is missing for a user's municipality, they can contact the app developer for assistance.",['municipality']
"The mobile app provides real-time information on speed cameras and traffic conditions in over 140 different regions, featuring a map with 38,000 fixed cameras across Europe, offline database, voting system, push notifications, and the ability to report and comment on speed cameras.",The user engages with the beta Auto-Pilot feature for warnings about Blitzers during longer trips outside the Landkreis.,"['location data', 'trip duration', 'Blitzers locations', 'beta Auto-Pilot feature usage']"
"The mobile app offers personal advice, market navigation, inspiration, care calendar, exclusive discounts, and more for DIY projects related to home and garden, providing expert tips, step-by-step guides, and shopping assistance with the ability to receive support via chat or video, and access to exclusive deals and product information directly on your smartphone, making it a convenient tool for all your DIY needs.",The user explores creative DIY projects from CREATE! by OBI.,"['DIY projects', 'creative interests', 'home improvement preferences']"
"The mobile app is a GPS camera used for fieldwork, allowing users to overlay and stamp photos with location, direction, altitude, date, and time taken, with additional features available for purchase such as editable notes overlay, custom export filename, batch edit notes overlay fields, and more.","The user can email or export photo data and notes in KML, KMZ, or CSV formats.","['photos', 'notes']"
"The mobile app is an interactive tool for learning and practicing Estonian verbs with activities such as quizzes and drills to help improve grammar and expand vocabulary, suitable for beginners and intermediate learners alike.",The app offers a way to increase and practice core Estonian vocabulary.,"['language learning preferences', 'vocabulary level', 'learning progress']"
"The mobile app offers access to 55,000 beauty products, exclusive member benefits, social sharing, beauty trends, tutorials, reviews, product ratings, favorites saving, customer service chat, giveaways, and a variety of beauty inspirations and hacks in a judgment-free environment.",The user finds their own unique style with the app.,"['clothing preferences', 'fashion interests', 'color preferences', 'body type']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.","The user scans products using the provided barcode to access information, customer reviews, and store stock availability.","['product information', 'customer reviews', 'store stock availability']"
"The mobile app offers engaging quiz-based games (kahoots) for students, teachers, company employees, trivia fans, and lifelong learners to increase engagement and learning, with features including creating and hosting quizzes, access to millions of learning games, and various study modes across different platforms.",Users play and engage with an audience ranging from 2 to 2000 people.,"{'personal_data': ['audience size', 'engagement level']}"
"The mobile app offers access to 55,000 beauty products, exclusive member benefits, social sharing, beauty trends, tutorials, reviews, product ratings, favorites saving, customer service chat, giveaways, and a variety of beauty inspirations and hacks in a judgment-free environment.",The user follows inspiring accounts.,"['user accounts', 'interests', 'preferred topics']"
"The mobile app provides a platform for users to create valuable relationships, find friends, and make empowered connections through its unique approach of allowing women to make the first move in dating, networking, and friend-finding modes.","At Bumble, women make the first move in heterosexual matches, with specific time limits to respond.","['gender', 'sexual orientation']"
"The mobile app offers a VPN proxy service for iPhone and iPad users with 11 protocols to choose from, support for up to 5 devices, 8000+ servers worldwide, fast connections, strict privacy policy, and security tools like Kill Switch for premium users.",The user may cancel their subscription at any time through their Apple ID Settings.,"['subscription details', 'Apple ID information']"
"The mobile app guides users through the process of choosing and interpreting statistical tests based on the type and relationship of variables selected, offering parametric tests for normally distributed metric variables and non-parametric tests for non-normally distributed ones, along with brief explanatory videos.",The user can watch short videos explaining how to perform and interpret the statistical procedures.,"['videos', 'statistical procedures', 'learning preferences']"
"The mobile app allows you to securely store and access files from any device, share files and folders easily, search for files by name and content, set permissions for sharing, access content offline, and receive notifications for important file activities, with options to purchase additional storage if needed.","The user can easily share files and folders with others for viewing, commenting, or editing.","['files', 'folders', 'shared users', 'comments', 'edits']"
"The mobile app allows users to shop, earn rewards points, access coupons and deals from partners like REWE, Amazon, and Burger King, pay securely with the app, redeem points for rewards, and benefit from personalized offers while supporting climate protection initiatives.","The user can shop, earn points, and redeem coupons at a wide range of partners using the PAYBACK App.","['purchase history', 'points balance', 'coupon preferences', 'partner transactions']"
"The mobile app provides convenient access to a wide selection of films and series, including premium content with over 12,000 titles from official distributors, offering the option to stream directly to a TV screen via Chromecast, support for offline viewing, and the ability to choose from Polish dubbing or subtitles.",The user watches legally and in the best quality directly from their smartphone with Polish voice-over or subtitles for movies and dubbing for cartoons.,"['location', 'language preferences', 'device type']"
"The mobile app offers a convenient and enjoyable shopping experience for shoes, handbags, clothing, and accessories from various top brands, along with features like membership benefits, product availability checking, image search, barcode scanner, and payment options, while also providing fashion inspiration and customer support.",The user makes safe purchases using various payment options provided by the app.,"['payment information', 'billing address', 'shipping address']"
"The mobile app provides users with a comprehensive overview of their pension scheme, including savings, returns, insurance policies, contributions, costs, and the option to book consultations and meetings with advisors, accessible in both Danish and English.",The user logs in using their MitID and selects a 4-digit pin code.,"['MitID', '4-digit pin code']"
"The mobile app is Denmark's new platform for digital mail, allowing users to easily receive, read, and respond to important messages from public authorities and private companies, with user-friendly design, push notifications, and upcoming features for signing documents and paying bills directly within the app, accessible for users over 15 years old with a MitID/NemID.",The user can choose to receive push notifications for new digital mails.,"['email address', 'notification preferences']"
"The mobile app offers a personalized music streaming experience with a vast music catalog, personalized playlists, offline listening, and various features like music identification, customized recommendations, and different subscription options for ad-free, high-quality music streaming.",The user explores music with lyrics and translations.,"['music preferences', 'lyrics', 'translation language preferences']"
"The mobile app allows users to stay connected with unlimited SMS and voice messages, video calls, group video chats, personalized reactions, chat designs, watching videos together, unlimited free video calls, sending files, making plans, sending and requesting payments, chatting with businesses, and cross-platform compatibility.",Users can record and send voice and video messages.,"['voice messages', 'video messages']"
"The mobile app allows users to plan routes along official hiking trails in Poland, record tracks, view points of interest, and access detailed touristic maps for various regions, with offline map downloads available.",The app provides navigation guidance on the planned route.,"['current location', 'destination', 'route preferences', 'mode of transportation']"
"The mobile app is an intuitive and powerful function generator that allows users to play various test tones, frequency sweeps, volume sweeps, music tones, and noise types, with advanced settings for customization and configuration flexibility.",The user changes the min/max slider frequency ranges.,['frequency ranges']
"The mobile app offers a fun and interactive hair salon experience with realistic hair styling, a variety of tools, braiding options, beard grooming, advanced hair color tools, clothing changes, accessories, photo booth features, and a gender-neutral aesthetic for kids to enjoy without time limits or third-party advertising.",The user uses the braiding tools for creating different types of braids on the character's hair.,"['hairstyle preferences', 'character customization preferences']"
"The mobile app offers engaging quiz-based games (kahoots) for students, teachers, company employees, trivia fans, and lifelong learners to increase engagement and learning, with features including creating and hosting quizzes, access to millions of learning games, and various study modes across different platforms.","Users get access to in-app-only study modes such as flashcards, repeat difficult questions, single-player, study groups, and read-aloud technology (Students only).","{'Personal data': ['study preferences', 'performance data', 'study group participation', 'student status']}"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user browses tasty recipes on the app.,"['food preferences', 'cooking skills', 'dietary restrictions']"
